Name,MIN,MIN Per Game,Point,Rebound,Assist,Steal,FG%,3P%,FT%,Age,Pos
Jameer Nelson,1406,22.31746032,523,146,253,47,40.7,34.5,66.7,33,PG
James Ennis III,1051,16.9516129,312,176,48,25,40.9,32.6,84,25,SF
James Harden,2981,36.80246914,2217,459,565,154,44,37.5,86.8,26,SG
James Johnson,1370,19.57142857,554,257,95,54,58.9,21.6,65.7,28,PF
James Jones,669,11.73684211,250,62,24,13,36.8,36,84.8,35,SF
James Michael McAdoo,137,9.133333333,62,37,2,5,54.5,0,56,22,PF
James Young,332,10.70967742,105,42,13,8,35.3,25.8,55.2,,
JaMychal Green,164,6.833333333,62,45,4,5,57.4,0,80,25,PF
Jannero Pargo,73,8.111111111,41,3,8,0,42.9,40.9,100,36,PG
Jared Cunningham,89,4.684210526,35,9,10,3,36.4,30.8,53.8,24,SG
Jared Dudley,1717,23.84722222,518,220,130,72,46.8,38.5,71.6,30,SG
Jared Sullinger,1566,27,770,441,134,44,43.9,28.3,74.4,23,PF
Jarnell Stokes,126,6.631578947,57,34,4,5,56.8,0,53.6,,
Jarrett Jack,2241,28.0125,957,245,373,75,43.9,26.7,88.1,32,PG
Jason Maxiell,878,14.39344262,203,203,19,18,42.2,0,57.7,32,PF
Jason Richardson,416,21.89473684,172,66,38,13,34.8,32.3,77.3,34,SG
Jason Smith,1785,21.76829268,656,324,140,32,43.4,35.7,83,,
Jason Terry,1641,21.31168831,541,121,147,66,42.2,39,81.3,,
Jason Thompson,1991,24.58024691,491,530,85,33,47,0,62.2,,
JaVale McGee,256,11.13043478,106,61,3,2,53.2,0,66.7,27,C
Jeff Adrien,215,12.64705882,60,77,15,4,43.2,0,57.9,29,PF
Jeff Ayres,383,7.509803922,137,117,14,8,57.9,0,75,28,PF
Jeff Green,2455,31.47435897,1168,328,134,53,43,33.2,83.3,29,SF
Jeff Teague,2228,30.52054795,1162,184,513,125,46,34.3,86.2,27,PG
Jeff Withey,259,7,98,64,11,4,50,0,68,,
Jeffery Taylor,430,14.82758621,127,53,22,12,39.5,30.6,63.4,26,SF
Jerami Grant,1377,21.18461538,411,198,79,40,35.2,31.4,59.1,21,SF
Jerel McNeal,36,6,9,3,2,3,27.3,50,100,28,PG
Jeremy Evans,266,7,90,71,13,11,55.2,40,82.8,28,SF
Jeremy Lamb,633,13.46808511,295,107,44,21,41.6,34.2,89.1,23,SG
Jeremy Lin,1907,25.77027027,832,196,339,82,42.4,36.9,79.5,27,PG
Jerome Jordan,383,8.704545455,138,105,13,8,53.2,0,86.4,29,C
Jerrelle Benimon,3,1.5,0,3,0,0,0,0,0,24,PF
Jerryd Bayless,1717,22.2987013,598,211,233,59,42.6,30.8,88.3,27,PG
Jimmer Fredette,509,10.18,178,40,58,15,38,18.8,95.6,26,PG
Jimmy Butler,2513,38.66153846,1301,379,212,114,46.2,37.8,83.4,26,SG
